schemeCode,schemeName,isinGrowth,isinDivReinvestment
100029,Grindlays Super Saver Income Fund-GSSIF-Growth,,
100032,Grindlays Super Saver Income Fund-GSSIF - ST-Growth,,
100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,INF209K01165,
100036,Birla Sun Life Freedom Fund-Plan B (Growth),,
100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,INF209K01579,
100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),INF209K01ME4,
100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),INF209K01RT1,
100047,Aditya Birla Sun Life Liquid Fund - Growth,INF209K01RU9,
100055,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Growth - Regular Plan,,
100058,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,INF209K01AC3,INF209K01AD1
100061,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Regular Plan,,
100064,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,INF209K01322,
100066,Aditya Birla Sun Life India Opportunities Fund - Growth - Regular Plan,,
100078,DSP Bond Fund - Growth,INF740K01557,
100081,DSP Aggressive Hybrid Fund- Regular Plan - Growth,INF740K01318,
100084,DSP Gilt Fund - Regular Plan - Growth,INF740K01615,
100087,DSP Savings Fund - Regular Plan - Growth,INF740K01714,
100090,DSP BlackRock Technology.com   Fund - Regular Plan - Growth,,
100119,HDFC Balanced Advantage Fund - Growth Plan,INF179K01830,
100122,HDFC Balanced Fund - Growth Option,,
100124,HDFC Income Fund - Growth Option,INF179K01962,
100151,Principal Retail Equity Savings Fund - Growth Option,,
100153,Principal Nifty 100 Equal Weight Fund-Growth,,
100155,Principal Equity Fund-Growth,,
100172,Quant Dynamic Bond-Growth,,
100175,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,INF966L01135,
100177,quant Small Cap Fund - Growth - Regular Plan,INF966L01AA0,
100181,ING Income Fund-Regular Plan -Growth Option,,
100187,ING Income Fund-Institutional Plan - Growth Option,,
100189,ING Core Equity Fund-Growth Option,,
100190,ING Liquid Fund-Regular Growth Option,,
100194,ING Liquid Fund-Auto Sweep Growth Option,,
100196,ING Liquid Fund-Institutional Growth Option,,
100199,ING Liquid Fund-Super Institutional Growth Option,,
100203,ING Balanced Fund-Growth Option,,
100219,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,
100221,JM Aggressive Hybrid Fund (Regular) -Growth Option,INF192K01544,
100223,JM Medium to Long Duration Fund (Regular) - Growth Option,INF192K01AB3,
100234,JM Liquid Fund - Growth Option,INF192K01882,
100237,JM High Liquidity Fund-- Institutional Plan - Growth,,
100247,JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,INF192K01981,
100250,JM G-Sec Fund - Growth Option,,
100251,JM G-Sec Fund-PF Plan - Growth Plan,,
100254,JM Value Fund (Regular) - Growth Option,INF137A01037,
100262,Kotak Gilt-Savings-Growth,,
100265,Kotak Gilt-Investment Regular-Growth,INF174K01FI5,
100279,Kotak Gilt-Serial 2019-Growth,,
100281,Kotak Gilt-Investment  Provident Fund and Trust-Growth,INF174K01FL9,
100282,HDFC FMP 3M MAY 2006(1)-INSTITUTIONAL PLAN-Growth,,
100284,HDFC FMP 3M MAY 2006(1)-RETAIL-Growth,,
100292,Kotak Bond-Deposit-Growth,,
100299,Kotak Bond Fund - Regular Plan Growth,INF174K01EM0,
100313,LIC MF Flexi Cap Fund-Regular Plan-Growth,INF767K01071,
100315,LIC MF Medium to Long Duration Fund-Regular Plan-Growth,INF767K01923,
100317,LIC MF Gilt Fund-Regular Plan-Growth,INF767K01709,
100319,LIC MF Gilt Fund-PF Plan-Growth,INF767K01733,
100323,LIC MF Aggressive Hybrid Fund-Regular Plan-Growth,INF767K01030,
100338,SaharaTax Gain-Growth,,
100347,Morgan Stanley Growth Fund- Regular Growth Plan,,
100349,ICICI Prudential Large & Mid Cap Fund - Growth,INF109K01431,
100350,ICICI Prudential Large & Mid Cap Fund - Institutional Option - I - Growth,,
100352,ICICI Prudential FMCG Fund - Growth,INF109K01415,
100354,ICICI Prudential ELSS Tax Saver Fund - Growth,INF109K01464,
100356,ICICI Prudential Equity & Debt Fund - Growth,INF109K01480,
100362,ICICI Prudential Liquid Institutional Plus Fund - Growth,,
100363,ICICI Prudential Technology Fund - Growth,INF109K01506,
100365,ICICI Prudential Long Term Bond Fund - Growth,INF109K01365,
100369,ICICI Prudential Gilt Fund - Growth,INF109K01JR4,
100371,ICICI Prudential Short Term Gilt Fund - Growth,,
100375,NIPPON INDIA GROWTH MID CAP FUND - IDCW Option,INF204K01299,INF204K01307
100376,Nippon India Growth Mid Cap Fund-Growth Plan-Bonus Option,INF204K01315,
100377,Nippon India Growth Mid Cap Fund-Growth Plan-Growth Option,INF204K01323,
100379,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Bonus Option,INF204K01398,
100380,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Growth Option,INF204K01406,
100382,UTI Large Cap Fund-Growth Option,,
100387,Nippon India Medium to Long Duration  Fund - Growth Plan Growth Option,INF204K01CL1,
100388,Nippon India Medium to Long Duration  Fund - Growth Plan Bonus Option,INF204K01CM9,
100414,Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,INF277K01303,
100415,Tata Ethical Fund-Regular Plan - Growth Option,INF277K01956,
100418,Tata Income Fund -Regular Plan - Growth Option,,
100471,Franklin India Large Cap Fund-Growth,INF090I01171,
100473,Franklin India Mid Cap Fund-Growth,INF090I01809,
100475,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,
100476,Taurus Flexi Cap Fund - Regular Plan - Growth ,INF044D01989,
100477,Taurus Mid Cap Fund - Regular Plan - Growth,INF044D01815,
100480,Taurus ELSS Tax Saver Fund - Regular Plan - Growth,INF044D01AC9,
100481,Franklin India Balanced Fund-Growth,,
100483,Franklin India Growth Fund,,
100484,Franklin India Index Fund- NSE Nifty 50 Index Fund - Growth,INF090I01890,
100485,Franklin India Govt.Sec. Fund-Composite Plan - Growth,,
100489,Franklin India Govt.Sec. Fund-Treasury Plan(Growth Option),,
100490,Franklin India Govt.Sec. Fund-PF Plan - Growth,,
100493,Franklin India Government Securities Fund - Growth,INF090I01CU9,
100496,Templeton India Value Fund - Growth Plan,INF090I01296,
100499,Franklin India Dynamic Accrual Fund-Growth,,
100501,Templeton India Liquid Fund-Growth,,
100506,Templeton Monthly Income Plan-Growth,,
100520,Franklin India Flexi Cap Fund - Growth,INF090I01239,
100522,Franklin India Technology Fund-Growth,INF090I01742,
100523,Franklin FMCG Fund - Growth,,
100526,Franklin India ELSS Tax Saver Fund-Growth,INF090I01775,
100528,Franklin India Corporate Debt Fund - Growth,INF090I01DG6,
100536,Franklin India Retirement Fund - Growth,INF090I01510,
100538,Franklin India Liquid Fund - Regular Plan - Growth,INF090I01BB1,
100544,Franklin India Liquid Fund - Liquid Plan - Growth,,
100546,Franklin India Liquid Fund - Super Institutional Plan - Growth,INF090I01BG0,
100550,Franklin India Aggressive Hybrid Fund - Growth Plan,INF090I01817,
100552,Templeton India Children’s Asset Plan-Gift Plan - Growth,,
100590,Canara Robeco Expo-Growth Plan,,
100597,CANARA ROBECO GILT FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AE1,
100601,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - GROWTH OPTION,INF760K01282,
100603,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan - Growth,INF903J01FQ2,
100608,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Institutional Plan - Growth,INF903J01FY6,
100612,Sundaram Growth Fund-Dividend,,
100613,Sundaram Growth Fund-Growth,,
100617,Sundaram Equity Hybrid Fund Regular Plan - Growth,,
100618,Sundaram Money Fund Retail Plan - Growth,,
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,INF966L01234,
100639,SBI Medium to Long Duration Fund-REGULAR PLAN-Growth,INF200K01594,
100641,SBI ULTRA SHORT DURATION FUND - REGULAR PLAN - GROWTH,INF200K01LJ4,
100651,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,
100656,UTI - Master Plus Unit Scheme-Growth Option,,
100664,UTI Large & Mid Cap Fund - Regular Plan - Growth Option,INF789F01869,
100669,UTI - Flexi Cap Fund-Growth Option,INF789F01513,
100676,Benchmark Derivative Fund - Growth Plan,,
100684,UTI Aggressive Hybrid Fund - Regular Plan - Growth,INF789F01323,
100712,UTI - INDEX SELECT FUND-Growth Option,,
100713,Grindays Fixed Maturity - 5th Plan-A-Growth,,
100723,UTI MMF-Discontinued - Regular Plan -Growth,INF789F01BF5,
100740,UTI - MNC Fund - Regular Plan - Growth Option,INF789F01844,
100741,UTI Medium to Long Duration Fund- Regular Plan - Growth,INF789F01406,
100749,UTI - Master Index Fund-Growth Option,,
100751,UTI - Master Value Fund-Growth Option,,
100781,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth,,
100784,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth,INF903J01IN3,
100789,Sundaram Corporate Bond Fund Regular Plan- Growth,INF903J01HW6,
100792,Sundaram Corporate Bond Fund Institutional - Growth,,
100795,Sundaram Small Cap Fund Regular Plan - Growth,INF903J01470,
100796,Sahara Midcap Fund-Growth Plan,,
100800,UTI Growth Sector Funds-UTI - GSF - Brand Value-Income Option,,
100801,UTI Growth Sector Funds-UTI - GSF - Brand Value-Growth Option,,
100802,UTI Software Fund-Growth Option,,
100805,UTI Energy Fund-Growth Option,,
100807,UTI Healthcare Fund - Regular Plan - Growth Option,INF789F01695,
100809,UTI Services Industries Fund-Growth Option,,
100812,UTI - G-Sec Fund-Growth,,
100814,UTI - Overnight  Fund - Regular Plan - Growth Option,INF789F01604,
100821,UTI ELSS Tax Saver Fund - Regular Plan - Growth Option,INF789F01547,
100822,UTI Nifty 50 Index Fund - Regular Plan - Growth Option,INF789F01JN2,
100829,Kotak Liquid-Regular (Growth),,
100830,Kotak Liquid-Institutional Plan  (Growth),,
100835,Kotak Liquid Fund - Regular Plan - Growth,INF174K01NI9,
100837,Nippon India Liquid Fund - Retail Option - Growth Plan,INF204K01UL3,
100845,Reliance Liquid Fund-Cash Plan-Growth Plan,,
100847,Reliance Liquid Fund-Cash Plan-Bonus Plan (Growth),,
100851,Nippon India Liquid Fund -Growth Plan,INF204K01UN9,
100856,Nippon India Corporate Bond Fund - Growth Plan - Growth Option,INF204K01EF9,
100859,Nippon India Corporate Bond Fund - Growth Plan - Bonus Option,INF204KA12N8,
100865,LIC MF ELSS Tax Saver-Regular Plan-Growth,INF767K01956,
100868,HDFC Liquid Fund - Growth Plan,INF179KB1HK0,
100872,HDFC Liquid Fund-PREMIUM PLUS- Growth,,
100873,HDFC Liquid Fund-PREMIUM- Growth,,
100888,Principal Cash Management-Liquid Option-Growth Plan,,
100893,Principal Cash Management-Liquid Option-Institutional - Growth Plan,,
100898,Principal Cash Management Fund -Growth Option,,
100900,HDFC Childrens Fund - Growth Plan,INF179KC1IY8,
100902,Franklin Pharma Fund - Growth,,
100940,DSP BlackRock Liquidity Fund - Regular Plan - Growth,,
100948,Franklin India Conservative Hybrid Fund - Growth,INF090I01EA7,
100952,ICICI Prudential MIP - Growth,,
100962,Principal Income Fund-Growth Plan-growth,,
100963,Principal Dynamic Bond Fund - Growth Option,,
100966,Principal Multi Cap Growth Fund- Half Yearly Income Distribution CUM Capital Withdrawal Option,,
100967,Principal Multi Cap Growth Fund-Growth Option,,
100968,SBI Conservative Hybrid Fund - Regular Plan - Growth,INF200K01859,
100970,Aditya Birla Sun Life MIP - Regular Plan - Growth,,
100998,HDFC Long Term Advantage Plan - Growth Plan,,
101000,Tata Life Sciences & Technology Fund - Growth,,
101001,SBI GILT FUND - REGULAR PLAN - GROWTH,INF200K01982,
101002,SBI CONSTANT MATURITY 10 Year GILT FUND - REGULAR PLAN - GROWTH,INF200K01AN9,
101042,Tata Gilt Securities Fund -Regular Plan- Growth Option,INF277K01519,
101048,Franklin India Floating Rate Fund - Growth Plan,INF090I01LM7,
101065,quant Mid Cap Fund - Growth Option - Regular Plan,INF966L01176,
101070,quant Aggressive Hybrid Fund - Growth Option - Regular Plan,INF966L01267,
101072,quant Multi Asset Allocation Fund-GROWTH OPTION - Regular Plan,INF966L01200,
101082,HDFC Gilt Fund-Short Term-Growth,,
101083,HDFC Gilt Fund - Growth Plan,INF179K01756,
101092,SUNDARAM GILT FUND (Growth. OPTION),,
101095,Taurus Gilt Fund-Growth,,
