scheme_name,category,sub_category,risk_level,rating,expense_ratio,fund_size_cr,fund_age_yr,sharpe,alpha,beta,returns_1yr,returns_3yr,returns_5yr,min_sip
Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth,Other,FoFs Domestic,3,3,0.27,10.0,10,0.24,2.24,0.01,4.0,6.5,6.9,100
Aditya Birla SL Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,1,3,0.36,4288.0,10,1.1,1.53,0.56,5.6,4.8,5.5,1000
Aditya Birla SL Asset Allocator FoF-Dir Growth,Other,FoFs Domestic,5,3,0.53,157.0,10,1.42,2.67,0.67,2.0,18.9,9.7,1000
Aditya Birla SL Bal Bhavishya Yojna – Dir Growth,Solution Oriented,Childrens Funds,6,2,0.76,637.0,4,0.9,-6.37,0.85,-0.7,17.1,8.9,500
Aditya Birla SL Balanced Advantage Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6,4,0.61,6386.0,10,1.39,1.99,0.68,4.5,18.6,9.7,100
Aditya Birla SL Banking&Financial Services-DirGrowth,Equity,Sectoral / Thematic Mutual Funds,6,2,1.17,2384.0,9,0.97,1.24,0.96,5.3,24.6,9.2,1000
Aditya Birla SL Banking&PSU Debt Fund,Debt,Banking and PSU Mutual Funds,3,4,0.37,7994.0,10,1.09,4.46,1.78,4.5,6.8,7.3,1000
Aditya Birla SL CEF – Global Agri Plan-Direct Growth,Equity,Sectoral / Thematic Mutual Funds,6,0,1.29,15.0,10,1.06,-,-,-10.3,29.4,9.3,1000
Aditya Birla SL Corporate Bond Fund,Debt,Corporate Bond Mutual Funds,2,4,0.31,12120.0,10,1.35,2.38,0.78,4.9,7.1,7.4,100
Aditya Birla SL Credit Risk Fund,Debt,Credit Risk Funds,4,4,0.69,1032.0,8,1.47,3.01,-0.95,8.7,9.0,7.2,100
Aditya Birla SL Digital India Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,0.88,3338.0,10,1.53,9.37,0.83,-14.6,39.8,21.1,100
Aditya Birla SL Dividend Yield Fund,Equity,Dividend Yield Funds,6,0,1.73,850.0,10,1.58,5.04,0.85,6.2,30.5,10.0,1000
Aditya Birla SL Dynamic Bond Fund,Debt,Dynamic Bond,3,5,0.64,1795.0,10,1.02,3.02,0.91,7.5,8.0,6.0,1000
Aditya Birla SL Equity Advantage Fund,Equity,Large & Mid Cap Funds,6,1,1.14,4836.0,10,1.16,-2.06,0.98,-9.9,22.3,7.9,1000
Aditya Birla SL Equity Hybrid ’95 Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,2,1.01,7046.0,10,1.33,1.43,0.85,-5.7,20.4,7.7,100
Aditya Birla SL Equity Savings Fund,Hybrid,Equity Savings Mutual Funds,4,2,1.21,451.0,8,1.2,1.11,0.99,0.8,11.7,6.9,1000
Aditya Birla SL Flexi Cap Fund,Equity,Flexi Cap Funds,6,3,0.86,15449.0,10,1.27,-1.46,0.96,-2.1,25.0,10.4,100
Aditya Birla SL Floating Rate Fund,Debt,Floater Mutual Funds,2,5,0.23,12364.0,10,1.66,3.73,1.37,5.8,6.4,6.8,1000
Aditya Birla SL Focused Equity Fund,Equity,Focused Funds,6,3,1.06,5633.0,10,1.26,-1.14,0.95,-0.7,24.0,10.7,1000
Aditya Birla SL FP FoF – Aggressive – Direct Growth,Other,FoFs Domestic,6,3,0.22,159.0,10,1.4,1.65,0.8,2.5,21.7,10.7,100
Aditya Birla SL FP FoF – Conservative – Direct Growth,Other,FoFs Domestic,4,4,0.34,14.0,10,1.57,1.94,0.36,4.7,13.3,8.2,100
Aditya Birla SL FP FoF – Moderate – Direct Growth,Other,FoFs Domestic,5,3,0.36,28.0,10,1.44,1.69,0.58,3.7,17.3,9.4,100
Aditya Birla SL Frontline Equity Fund,Equity,Large Cap Mutual Funds,6,3,1.03,21131.0,10,1.39,0.76,0.95,1.6,26.3,10.6,100
Aditya Birla SL Global Emerging Oppt Fund,Other,FoFs Overseas,6,0,0.7,261.0,10,0.7,-,-,-5.7,18.8,8.3,100
Aditya Birla SL Gold Fund,Other,FoFs Domestic,5,2,0.15,278.0,10,0.45,-0.57,0.97,11.8,12.1,13.2,100
Aditya Birla SL Govt Securities Fund,Debt,Gilt Mutual Funds,3,3,0.29,1351.0,10,0.57,1.09,0.73,3.6,6.0,8.0,1000
Aditya Birla SL Income Fund,Debt,Medium to Long Duration Funds,3,4,0.49,1496.0,10,0.64,1.69,1.51,3.5,7.1,7.7,1000
Aditya Birla SL India GenNext Fund,Equity,Sectoral / Thematic Mutual Funds,6,3,0.82,3217.0,10,1.43,3.33,0.79,4.6,25.0,13.3,1000
Aditya Birla SL Infrastructure Fund,Equity,Sectoral / Thematic Mutual Funds,6,2,1.7,562.0,10,1.4,4.38,0.85,13.5,35.6,9.2,1000
